Initial Mass,Initial Metallicity,Overshooting factor,Core Mass,Envelope Mass,Final Fate,Explosion,Termination Code
1.2000,0.0010,0.0140,1.139,0.006,COWD*,NO,max_model_number
1.2000,0.0010,0.0160,1.139,0.006,COWD*,NO,max_model_number
1.2000,0.0200,0.0000,1.052,0.01,COWD*,NO,max_model_number
1.2000,0.0200,0.0140,1.053,0.01,COWD*,NO,max_model_number
1.2000,0.0200,0.0160,1.051,0.014,COWD*,NO,max_model_number
1.3000,0.0001,0.0000,1.205,0.043,CONeWD,NO,max_model_number
1.3000,0.0001,0.0140,1.224,0.003,CONeWD,NO,max_model_number
1.3000,0.0001,0.0160,1.206,0.035,CONeWD,NO,max_model_number
1.3000,0.0010,0.0000,1.216,0.014,CONeWD,NO,max_model_number
1.3000,0.0010,0.0140,1.225,0.003,CONeWD,NO,max_model_number
1.3000,0.0010,0.0160,1.224,0.004,CONeWD,NO,max_model_number
1.3000,0.0200,0.0000,1.108,0.033,COWD*,NO,max_model_number
1.3000,0.0200,0.0140,1.119,0.02,COWD*,NO,max_model_number
1.3000,0.0200,0.0160,1.121,0.014,COWD*,NO,max_model_number
1.4000,0.0001,0.0000,1.206,0.049,CONeWD,NO,max_model_number
1.4000,0.0001,0.0140,1.246,0.0,CONeWD,NO,max_model_number
1.4000,0.0001,0.0160,1.248,0.0,CONeWD,NO,v_surf_div_v_kh_upper_limit
1.4000,0.0010,0.0000,1.167,0.167,COWD**,NO,max_model_number
1.4000,0.0010,0.0140,1.224,0.009,CONeWD*,NO,max_model_number
1.4000,0.0010,0.0160,1.235,0.0,CONeWD,NO,v_surf_div_v_kh_upper_limit
1.4000,0.0200,0.0000,1.147,0.076,COWD*,NO,max_model_number
1.4000,0.0200,0.0140,1.148,0.078,COWD*,NO,max_model_number
1.4000,0.0200,0.0160,1.148,0.078,COWD*,NO,max_model_number
1.5000,0.0001,0.0000,1.204,0.092,CONeWD,NO,max_model_number
1.5000,0.0001,0.0140,1.294,0.004,CONeWD,NO,max_model_number
1.5000,0.0001,0.0160,1.151,0.151,COWD**,NO,min_timestep_limit
1.5000,0.0010,0.0000,1.205,0.08,CONeWD,NO,max_model_number
1.5000,0.0010,0.0140,1.288,0.001,CONeWD*,NO,max_model_number
1.5000,0.0010,0.0160,1.291,0.001,CONeWD*,NO,max_model_number
1.5000,0.0200,0.0000,1.203,0.042,COWD*,NO,max_model_number
1.5000,0.0200,0.0140,1.2,0.033,CONeWD*,NO,max_model_number
1.5000,0.0200,0.0160,1.199,0.033,CONeWD*,NO,max_model_number
1.6000,0.0001,0.0000,1.202,0.134,CONeWD*,NO,max_model_number
1.6000,0.0001,0.0140,1.322,0.0,CONeWD*,NO,max_model_number
1.6000,0.0001,0.0160,1.148,0.21,COWD**,NO,min_timestep_limit
1.6000,0.0010,0.0000,1.202,0.123,CONeWD*,NO,max_model_number
1.6000,0.0010,0.0140,1.321,0.0,CONeWD*,NO,logQ_min_limit
1.6000,0.0010,0.0160,1.318,0.0,CONeWD*,NO,max_model_number
1.6000,0.0200,0.0000,1.205,0.072,CONeWD*,NO,max_model_number
1.6000,0.0200,0.0140,1.273,0.0,CONeWD*,NO,max_model_number
1.6000,0.0200,0.0160,1.278,0.0,CONeWD*,NO,max_model_number
1.7000,0.0001,0.0000,1.2,0.175,CONeWD*,NO,max_model_number
1.7000,0.0001,0.0140,1.136,0.346,ONeWD*,NO,max_model_number
1.7000,0.0001,0.0160,1.137,0.302,ONeWD**,NO,min_timestep_limit
1.7000,0.0010,0.0000,1.201,0.177,CONeWD*,NO,max_model_number
1.7000,0.0010,0.0140,1.139,0.307,ONeWD*,NO,max_model_number
1.7000,0.0010,0.0160,1.14,0.292,ONeWD**,NO,max_model_number
1.7000,0.0200,0.0000,1.203,0.114,CONeWD*,NO,max_model_number
1.7000,0.0200,0.0140,1.329,0.001,CONeWD*,NO,max_model_number
1.7000,0.0200,0.0160,1.325,0.0,CONeWD*,NO,max_model_number
1.8000,0.0001,0.0000,1.2,0.267,CONeWD*,NO,max_model_number
1.8000,0.0001,0.0140,1.139,0.47,ONeWD*,NO,max_model_number
